Marca temporal,Género,¿Cuántos años tienes?,¿Qué semestre estás cursando?,Número de horas que dedicas para estudiar a la semana,Promedio general del último semestre cursado,Cantidad de materias aprobadas en el último semestre cursado (25-2),¿Con cuántos lenguajes de programación trabajas con comodidad? ,¿Cuántas herramientas de IA generadoras de texto utilizas comúnmente?,"Generalmente, ¿considera válido el uso de la inteligencia artificial generadora de texto en trabajos académicos?","Aproximadamente, ¿Cuántas veces consultas a una IA generadora de texto en un día?",¿Qué herramienta de IA generadora de texto utilizas con mayor frecuencia en tus actividades académicas?,¿Cómo calificarías tu nivel de confianza sobre las respuestas generadas por los modelos de IA generadoras de texto? [Nivel de confianza],expediente
2026/04/08 9:07:14 p.m. GMT+0,Masculino,20,2do Semestre,1,89,5,1,2,No,4,Gemini,Regular,
2026/04/08 9:07:40 p.m. GMT+0,Masculino,19,2do Semestre,1,76,7,2,1,Sí,1,ChatGPT,Alto,
2026/04/08 9:07:45 p.m. GMT+0,Masculino,19,2do Semestre,2,74,6,2,2,No,1,deepseek,Bajo,
2026/04/08 9:08:01 p.m. GMT+0,Masculino,18,2do Semestre,10,72,7,2,2,Sí,1,Claude,Regular,
2026/04/08 9:08:05 p.m. GMT+0,Femenino,18,2do Semestre,12,86,7,3,6,Sí,4,ChatGPT,Bajo,
2026/04/08 9:08:19 p.m. GMT+0,Masculino,20,2do Semestre,35,90,7,2,2,Sí,5,ChatGPT,Regular,
2026/04/08 9:08:57 p.m. GMT+0,Masculino,18,1er Semestre,1,89,5,2,1,Sí,2,ChatGPT,Regular,
2026/04/08 9:09:26 p.m. GMT+0,Femenino,22,2do Semestre,5,88,7,2,2,Sí,3,Claude,Regular,
2026/04/08 9:10:09 p.m. GMT+0,Masculino,20,5to Semestre,5,80,5,3,3,Sí,1,Copilot,Regular,
2026/04/08 9:11:00 p.m. GMT+0,Masculino,18,7mo Semestre,2,83,7,2,1,Sí,1,ChatGPT,Regular,
2026/04/08 9:12:18 p.m. GMT+0,Masculino,18,2do Semestre,6,80,7,2,1,No,0,ChatGPT,Muy bajo,
2026/04/08 9:12:27 p.m. GMT+0,Masculino,19,2do Semestre,3,77,7,2,1,No,0,Gemini,Muy bajo,
2026/04/08 9:12:49 p.m. GMT+0,Masculino,23,1er Semestre,5,90,3,2,2,Sí,2,Copilot,Regular,
2026/04/08 9:57:39 p.m. GMT+0,Masculino,30,9no Semestre,10,86.25,3,3,1,Sí,4,Claude,Regular,
2026/04/08 10:37:58 p.m. GMT+0,Masculino,20,6to Semestre,12,94,6,4,2,Sí,15,Gemini,Regular,
2026/04/08 11:10:08 p.m. GMT+0,soy un helicoptero ,24,9no Semestre,2,85,1,5,2,No,1,brave y deepseek,Muy bajo,
2026/04/08 11:34:12 p.m. GMT+0,Masculino,22,9no Semestre,28,88,6,2,1,No,3,Gemini,Regular,
2026/04/09 12:07:24 a.m. GMT+0,Masculino,20,4to Semestre,35,9.2,7,2,3,Sí,3,Meta IA,Regular,
2026/04/09 1:01:21 a.m. GMT+0,Masculino,23,9no Semestre,3,97,3,2,2,Sí,3,ClaudeAI,Bajo,
2026/04/09 3:54:56 a.m. GMT+0,Masculino,21,6to Semestre,20,90,6,2,2,Sí,3,ChatGPT,Regular,
2026/04/09 3:19:19 p.m. GMT+0,Masculino,22,6to Semestre,40,91,7,3,2,Sí,2,ChatGPT,Alto,
2026/04/09 3:20:54 p.m. GMT+0,Masculino,20,6to Semestre,5,93,6,2,1,Sí,8,ChatGPT,Regular,
2026/04/09 3:21:36 p.m. GMT+0,Masculino,20,6to Semestre,40,99,7,3,3,Sí,2,Gemini,Alto,
2026/04/09 3:23:31 p.m. GMT+0,Masculino,20,6to Semestre,36,99,7,2,2,Sí,2,claude,Alto,
2026/04/09 3:54:11 p.m. GMT+0,Masculino,21,6to Semestre,5,93,6,1,2,Sí,3,Gemini,Alto,
2026/04/09 3:55:44 p.m. GMT+0,Masculino,21,6to Semestre,7,97,7,3,4,Sí,10,claude,Muy alto,
2026/04/09 5:23:02 p.m. GMT+0,Masculino,21,8vo Semestre,168,95,6,4,1,Sí,23,Gemini,Alto,
2026/04/10 3:42:50 p.m. GMT+0,Masculino,22,2do Semestre,8,92,4,3,2,Sí,4,Deepseek y Claude,Regular,
